R1, R2, C1, C2
96, 96, 0, 0
96, 9F, 0, 1
96, 18, 0, 2
90, 99, 0, 3
96, 92, 0, 4
96, CB, 0, 5
95, 9C, 0, 6
8A, 9D, 0, 7
96, BE, 0, 8
97, BF, 0, 9
9C, A0, 0, A
96, AA, 0, B
96, C2, 0, C
95, E3, 0, D
8A, A4, 0, E
96, BB, 0, F
97, A6, 0, 10
9E, 27, 0, 11
DE, A8, 0, 12
96, E5, 0, 13
94, 2A, 0, 14
83, AB, 0, 15
96, BA, 0, 16
96, 15, 0, 17
90, AE, 0, 18
A4, AF, 0, 19
96, 84, 0, 1A
97, 1, 0, 1B
98, B2, 0, 1C
E2, B3, 0, 1D
96, CC, 0, 1E
95, 55, 0, 1F
B6, B6, 0, 20
96, 96, 0, 21
97, A8, 0, 22
9E, 79, 0, 23
DE, BA, 0, 24
96, F1, 0, 25
94, DC, 0, 26
85, 3D, 0, 27
36, BE, 0, 28
96, 1B, 0, 29
93, 80, 0, 2A
BD, C1, 0, 2B
96, EE, 0, 2C
97, AB, 0, 2D
9D, 44, 0, 2E
C8, C5, 0, 2F
96, A6, 0, 30
95, D7, 0, 31
8F, C8, 0, 32
5A, C9, 0, 33
96, 1A, 0, 34
90, 6B, 0, 35
A0, CC, 0, 36
96, FA, 0, 37
97, E, 0, 38
98, 8F, 0, 39
E2, D0, 0, 3A
96, A7, 0, 3B
95, 12, 0, 3C
88, 53, 0, 3D
6E, D4, 0, 3E
96, 29, 0, 3F
9E, D6, 0, 40
D7, D7, 0, 41
96, 9A, 0, 42
94, C1, 0, 43
87, DA, 0, 44
1C, DB, 0, 45
96, 50, 0, 46
92, AD, 0, 47
B2, DE, 0, 48
B2, DE, 0, 49
97, C8, 0, 4A
9F, 81, 0, 4B
DA, E2, 0, 4C
96, AE, 0, 4D
94, 94, 0, 4E
85, 25, 0, 4F
36, E6, 0, 50
96, 45, 0, 51
93, C8, 0, 52
BF, 69, 0, 53
C6, EB, 0, 54
97, BF, 0, 55
9C, 2C, 0, 56
C1, ED, 0, 57
96, B6, 0, 58
94, 27, 0, 59
80, 70, 0, 5A
20, F1, 0, 5B
96, 4A, 0, 5C
93, 23, 0, 5D
B9, F4, 0, 5E
EA, F4, 0, 5F
97, 76, 0, 60
9A, D7, 0, 61
F4, F8, 0, 62
96, 9A, 0, 63
95, DA, 0, 64
8F, BB, 0, 65
5A, FC, 0, 66
96, 33, 0, 67
90, 7E, 0, 68
A2, 7F, 0, 69
3E, 1, 0, 6A
97, AD, 0, 6B
9B, 82, 0, 6C
FB, 3, 0, 6D
96, 6A, 0, 6E
95, 7D, 0, 6F
8A, 6, 0, 70
74, 7, 0, 71
96, EC, 0, 72
91, 39, 0, 73
AC, A, 0, 74
42, A, 0, 75
97, D4, 0, 76
98, ED, 0, 77
EE, E, 0, 78
96, 76, 0, 79
95, C0, 0, 7A
88, D1, 0, 7B
6E, 12, 0, 7C
96, E9, 0, 7D
91, F4, 0, 7E
A9, 95, 0, 7F
96, 14, 0, 80
94, 13, 0, 81
86, 58, 0, 82
15, 19, 0, 83
96, 9E, 0, 84
92, 33, 0, 85
B7, 9C, 0, 86
98, 1C, 0, 87
97, E, 0, 88
9E, 8F, 0, 89
D3, 20, 0, 8A
BA, 23, 0, 8B
94, 12, 0, 8C
87, 83, 0, 8D
18, 24, 0, 8E
96, AA, 0, 8F
92, A6, 0, 90
B2, 67, 0, 91
B2, 29, 0, 92
97, F, 0, 93
9F, 6A, 0, 94
DC, AB, 0, 95
CE, 2E, 0, 96
94, 71, 0, 97
85, 2E, 0, 98
F, 2F, 0, 99
96, AA, 0, 9A
92, E9, 0, 9B
B1, 32, 0, 9C
AC, 32, 0, 9D
97, 8, 0, 9E
9F, C5, 0, 9F
C6, 36, 0, A0
12, 35, 0, A1
94, B0, 0, A2
82, 59, 0, A3
32, 3A, 0, A4
96, 9E, 0, A5
93, C, 0, A6
BF, FD, 0, A7
C6, 3F, 0, A8
97, 6D, 0, A9
9C, E0, 0, AA
C3, C1, 0, AB
26, 40, 0, AC
94, F7, 0, AD
83, 84, 0, AE
39, 45, 0, AF
96, F6, 0, B0
93, CF, 0, B1
BA, C8, 0, B2
F0, 48, 0, B3
97, 22, 0, B4
9D, 1B, 0, B5
CD, 4C, 0, B6
4A, 4F, 0, B7
94, AE, 0, B8
81, 6F, 0, B9
2C, 50, 0, BA
96, EA, 0, BB
93, B2, 0, BC
B9, 13, 0, BD
EA, 55, 0, BE
97, 2B, 0, BF
9A, 56, 0, C0
F6, D7, 0, C1
9E, 5B, 0, C2
95, 55, 0, C3
8E, DA, 0, C4
53, 5B, 0, C5
96, 9A, 0, C6
90, 65, 0, C7
A4, 5E, 0, C8
4, 5E, 0, C9
97, F4, 0, CA
9A, D1, 0, CB
F0, 62, 0, CC
